ico_name,member_order,member_name,position,description,linktype,link,member_type
Mit-Ra,4,Maks Manturov,Director Business Development,Participates in several projects,linkedin,https://www.linkedin.com/in/manturovma/,normal
Mit-Ra,5,Adrianna Kube,HR Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/adriannakube/,normal
Vertix,1,Niki Berdnik,CEO,Participates in several projects,linkedin,https://www.linkedin.com/in/niki-berdnik-03aab1168/,normal
NuMoney Exchange,1,Steven Goh,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/steven-goh-6738131b,normal
MDL Talent Hub,1,Roman Tronenko,Chief Technical Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/roman-tronenko,normal
MDL Talent Hub,2,Dmitry Timokhin,Chief Financial Officer/Chief Operating Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/dtimokhin,normal
MDL Talent Hub,3,Dimitry Doronin,Chief Executive Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/dimitry-doronin/,normal
MDL Talent Hub,4,Bulat Zamilov,System Administrator,Takes part in this project only,linkedin,https://www.linkedin.com/in/bulatzamilov/,normal
MDL Talent Hub,5,Nathan Horn,Global Marketing Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/nathanaelhorn/,normal
MDL Talent Hub,6,Andrey Podgornykh,Financial Risk Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/aapodg/,normal
MDL Talent Hub,7,Monika Rofler,Business Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/monika-rofler-92394220/,normal
MDL Talent Hub,8,Jevgenij Konn,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/jevgenij-konn-cfa-08062965/,advsisor
MDL Talent Hub,9,Samuel Doe,Mentor,Takes part in this project only,linkedin,https://www.linkedin.com/in/samuel-doe-26-latitiude/,advsisor
MDL Talent Hub,10,Brandon Smietana,ICO Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/brandon-smietana-16389812/,advsisor
MDL Talent Hub,11,Daniil Morozov,Advisor,Participates in a number of projects,linkedin,https://www.linkedin.com/in/dmoroz0v/,advsisor
Zenome,1,Alexey Gorbachev,Ph.D. in molecular biology and biochemistry,Takes part in this project only,linkedin,https://www.linkedin.com/in/alexey-gorbachev-24b5305b/,normal
Zenome,2,Nikolay Kulemin,Ph.D. in bioinformatics,Takes part in this project only,linkedin,https://www.linkedin.com/in/nikolay-kulemin-50ab47a9/,normal
Zenome,3,Vladimir Naumov,Genomic data scientist,Takes part in this project only,linkedin,https://www.linkedin.com/in/vladimir-naumov-8285a25b/,normal
Vernam,1,"PhD Student, MBA Roman Angelov","CEO, Co-founder",Takes part in this project only,linkedin,https://www.linkedin.com/in/romanangelov/,normal
Vernam,2,Ivan  Georgiev,Co-founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/ivan-georgiev-8ba76239/,normal
Vernam,3,"PhD Student,  Dipl. Eng Dimitar Mitrev",Co-founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/dimitar-mitrev-60b4099/,normal
Vernam,4,"HBS MBA, Borislav Stefanov",Business Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/borislav,normal
Vernam,5,Vesselin  Zahariev,Financial Expert,Takes part in this project only,linkedin,https://www.linkedin.com/in/vesselinzahariev/,normal
Vernam,6,"PhD, Prof. Zhelyo Hristozov",Insurance Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/zhelyo-hristozov-417b56140/,normal
Infinitus Token,1,Xanne Leo,Co-Founder CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/xanneleo/,normal
Infinitus Token,2,Eric Song,Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/eric-song-108a854b/,normal
Infinitus Token,3,Moshe Schlisser,President,Takes part in this project only,linkedin,https://www.linkedin.com/in/moshe-schlisser-b919107b/,normal
